id,period,sheet_name,source_row,date_display,start_date,end_date,year,title,category,item_kind,count,verification_status,public_note
TV01958,7. Dönem (2021–2026),7. DÖNEM,329,2026-07-20 00:00:00,,,2026,Adalar: Y. Doğan Çetinkaya – Türkiye Tarihi Çalışmak İçin Avrupa Tarihini Bilmek,Konferans/Söyleşi,event,,uncertain_date,
TV01959,7. Dönem (2021–2026),7. DÖNEM,329,2026-07-20 00:00:00,,,2026,"Toplumsal Tarih - 380  sayı. Özel Dosya: “1700.  Yıldönümü vesilesiyle 325 İznik Konsili""",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01960,7. Dönem (2021–2026),7. DÖNEM,331,2026-08-03 00:00:00,,,2026,Adalar: Ferdan Ergut – Tarihin Suistimali,Konferans/Söyleşi,event,1,uncertain_date,
TV01961,7. Dönem (2021–2026),7. DÖNEM,331,2026-08-03 00:00:00,,,2026,"Toplumsal Tarih - 381. sayı. Özel Dosya: “Hijyenin Maddi Kültürü: Nesneler, Mekânlar ve Kullanıcılar"", Ed. Zehra Betül Atasoy- Zeynep Akçakaya",Dergi (Toplumsal Tarih),publication,1,uncertain_date,
TV01962,7. Dönem (2021–2026),7. DÖNEM,332,Eylül 2025,,,2025,Olağan Genel Kurul Toplantısı,,organizational,,uncertain_category,
TV01963,7. Dönem (2021–2026),7. DÖNEM,332,Eylül 2025,,,2025,"Toplumsal Tarih - 382  sayı. Özel Dosya: “1925 Kavşağında Tek Parti Yönetimine Geçiş""  Ed: Nurşen Gürboğa",Dergi (Toplumsal Tarih),publication,1,needs_review,
TV01964,7. Dönem (2021–2026),7. DÖNEM,333,Ekim 2025,,,2025,"Toplumsal Tarih - 383  sayı. Özel Dosya: “ Tarihçilerin Gözünden 100. Yılında 677 Sayılı Kanun"" Ed: Gökçen B. Dinç - M. Brett Wilson",Dergi (Toplumsal Tarih),publication,1,needs_review,
TV01965,7. Dönem (2021–2026),7. DÖNEM,334,Kasım 2025,,,2025,"Toplumsal Tarih - 384  sayı. Özel Dosya: “ Osmanlı Kaleleri Üzerine Yeni Perspektifler: Finansman, İnşa, Yönetim ve Kuşatma"" Ed: Özgür Kolçak",Dergi (Toplumsal Tarih),publication,1,needs_review,
TV01966,7. Dönem (2021–2026),7. DÖNEM,335,Aralık 2025,,,2025,"Toplumsal Tarih - 385  sayı. Özel Dosya: “ Dünden Bugüne Türk- Japon İlişkileri ve Modernleşme Serüveni"" Ed: Selçuk Esenbel.",Dergi (Toplumsal Tarih),publication,1,needs_review,
TV01967,7. Dönem (2021–2026),7. DÖNEM,336,Ocak 2026,,,2026,"Toplumsal Tarih - 386 sayı. Özel Dosya: “ Osmanlı'nınUzak Eyaletleri: Garp Ocakları"" Ed: Özgür Oral",Dergi (Toplumsal Tarih),publication,1,needs_review,
TV01968,7. Dönem (2021–2026),7. DÖNEM,338,Şubat 2026,,,2026,"Mitler, Gerçekler ve Yöntem (2. baskı), Edhem Eldem",,publication,,uncertain_category,
TV01969,7. Dönem (2021–2026),7. DÖNEM,339,2021- 2023 basılan kitaplar,,,2021,"Tanzimat'tan Günümüze Türkiye'de İşçi Sınıfı Tarihi (2. baskı), Alkan, Çetinkaya",,publication,,uncertain_date,
